,Speaker,Response,party,IntSpeakerTarget,MatchToTopic,Topics,IntTopicTarget,MatchedWords
658,KERRY,"for people earning more than $200,000 a year. that’s all. ninety-eight percent of america, i’m giving you a tax cut and i’m giving you health care.",0,6,True,Health Care,51,health care
660,GEORGE W. BUSH,"and finally, he said he’s going to have a novel health care plan. you know what it is? the federal government is going to run it. it’s the largest increase in federal government health care ever. and it fits with his philosophy. that’s why i told you about the award he won from the national journal. that’s what liberals do. they create government-sponsored health care. maybe you think that makes sense. i don’t. government-sponsored health care would lead to rationing. it would ruin the quality of health care in america.",1,3,True,Health Care,51,"health care, health care, health care, health care, health care"
662,KERRY,"yes, i think we should look at the punitive and we should have some limitations. but look, what’s really important, charlie, is the president is just trying to scare everybody here with throwing labels around. i mean, “compassionate conservative,” what does that mean? cutting 500,000 kids from after-school programs, cutting 365,000 kids from health care, running up the biggest deficits in american history. mr. president, you’re batting 0 for 2. i mean, seriously — labels don’t mean anything. what means something is: do you have a plan? and i want to talk about my plan some more — i hope we can. ",0,6,True,Health Care,51,health care
664,GEORGE W. BUSH,"right, thank you for that. we have a deficit. we have a deficit because this country went into a recession. you might remember the stock market started to decline dramatically six months before i came to office, and then the bubble of the 1990s popped. and that cost us revenue. that cost us revenue. secondly, we’re at war. and i’m going to spend what it takes to win the war, more than just $120 billion for iraq and afghanistan. we’ve got to pay our troops more. we have. we’ve increased money for ammunition and weapons and pay and homeland security. i just told this lady over here we spent — went from $10 billion to $30 billion to protect the homeland. i think we have an obligation to spend that kind of money. and plus, we cut taxes for everybody. everybody got tax relief, so that they get out of the recession. i think if you raise taxes during a recession, you head",1,3,True,"Economy, Federal Spending",59,"deficit, deficit, stock market"
665,GEORGE W. BUSH,"to depression. i come from the school of thought that says when people have more money in their pocket during economic times, it increases demand or investment. small businesses begin to grow, and jobs are added. we found out today that over the past 13 months, we’ve added 1.9 million new jobs in the last 13 months. i proposed a plan, detailed budget, that shows us cutting the deficit in half by five years. and you’re right, i haven’t vetoed any spending bills, because we work together. non-homeland, non-defense discretionary spending was raising at 15 percent a year when i got into office. and today it’s less than 1 percent, because we’re working together to try to bring this deficit under control. like you, i’m concerned about the deficit. but i am not going to shortchange our troops in harm’s way. and i’m not going to run up taxes, which will cost this economy jobs. thank you for",1,3,True,"Economy, Federal Spending",59,"small businesses, businesses, jobs, jobs, deficit, discretionary spending, deficit, deficit, economy, jobs"
667,KERRY,"let me begin by saying that my health-care plan is not what the president described. it is not a government takeover. you have choice. choose your doctor, choose your plan. the government has nothing to do with it. in fact, it doesn’t ask you to do anything — if you don’t want to take it, you don’t have to. if you like your high premiums, you keep them. that’s the way we leave it. now with respect to the deficit, the president was handed a $5.6 trillion surplus, ladies and gentlemen. that’s where he was when he came into office. we now have a $2.6 trillion deficit. this is the biggest turnaround in the history of the country. he’s the first president in 72 years to lose jobs. he talked about war. this is the first time the united states of america has ever had a tax cut when we’re at war. franklin roosevelt, harry truman, others,",0,6,True,"Economy, Federal Spending",59,"deficit, surplus, deficit, jobs"
669,GEORGE W. BUSH,"well, look at the budget. one is make sure congress doesn’t overspend. but let me talk back about where we’ve been. the stock market was declining six months prior to my arrival. it was the largest stock market correction — one of the largest in history, which foretold a recession. because we cut taxes on everybody — remember, we ran up the child credit by $1,000, we reduced the marriage penalty, we created a 10 percent bracket, everybody who pays taxes got relief — the recession was one of the shortest in our nation’s history. ",1,3,True,Economy,28,"stock market, stock market"
670,KERRY,"after 9/11, after the recession had ended, the president asked for another tax cut and promised 5.6 million jobs would be created. he lost 1.6 million, ladies and gentlemen. and most of that tax cut went to the wealthiest people in the country. he came and asked for a tax cut — we wanted a tax cut to kick the economy into gear. do you know what he presented us with? a $25 billion giveaway to the biggest corporations in america, including a $254 million refund check to enron. wrong priorities. you are my priority. ",0,6,True,Economy,28,"jobs, economy"
671,KERRY,"absolutely. yes. right into the camera. yes. i am not going to raise taxes. i have a tax cut. and here’s my tax cut. i raise the child-care credit by $1,000 for families to help them be able to take care of their kids. i have a $4,000 tuition tax credit that goes to parents — and kids, if they’re earning for themselves — to be able to pay for college. and i lower the cost of health care in the way that i described to you. every part of my program i’ve shown how i’m going to pay for it. and i’ve gotten good people, like former secretary of the treasury bob rubin, for instance, who showed how to balance budgets and give you a good economy, to help me crunch these numbers and make them work. i’ve even scaled back some of my favorite programs already, like the child-care program i wanted to fund and the national service program,",0,6,True,"Taxes, Economy, Health Care",45,"tax credit, health care, economy"
672,KERRY,"because the president’s deficit keeps growing and i’ve said as a pledge, “i’m going to cut the deficit in half in four years.” now, i’m going to restore what we did in the 1990s, ladies and gentlemen: pay as you go. we’re going to do it like you do it. the president broke the pay-as-you-go rule. somebody here asked the question about, “why haven’t you vetoed something?” it’s a good question. if you care about it, why don’t you veto it? i think john mccain called the energy bill the “no lobbyist left behind” bill. i mean, you’ve got to stand up and fight somewhere, folks. i’m pledging i will not raise taxes; i’m giving a tax cut to the people earning less than $200,000 a year. now, for the people earning more than $200,000 a year, you’re going to see a rollback to the",0,6,True,Federal Spending,29,"deficit, deficit"
676,GEORGE W. BUSH,"good. you looked at me like my clock was up. i think that the way to grow this economy is to keep taxes low, is have an energy plan, is to have litigation reform. as i told you, we’ve just got a report that said over the past 13 months, we’ve created 1.9 million new jobs. weâ€™re growing. and so the fundamental question of this campaign is: who’s going to keep the economy growing so people can work? that’s the fundamental question. ",1,3,True,Economy,28,"economy, jobs, economy"
683,KERRY,"pull out of the sky, slap it onto something, like “no child left behind” but you leave millions of children behind. here they’re leaving the skies and the environment behind. if they just left the clean air act all alone the way it is today, no change, the air would be cleaner than it is if you pass the clear skies act. we’re going backwards. in fact, his environmental enforcement chief air-quality person at the epa resigned in protest over what they’re doing to what they are calling the new source performance standards for air quality. they’re going backwards on the definition for wetlands. they’re going backwards on the water quality. they pulled out of the global warming, declared it dead, didn’t even accept the science. i’m going to be a president who believes in science.",0,6,True,Climate Change,40,global warming
684,GEORGE W. BUSH,"well, had we joined the kyoto treaty, which i guess he’s referring to, it would have cost america a lot of jobs. it’s one of these deals where, in order to be popular in the halls of europe, you sign a treaty. but i thought it would cost a lot — i think there’s a better way to do it. and i just told you the facts, sir. the quality of the air is cleaner since i’ve been the president of the united states. and we’ll continue to spend money on research and development, because i truly believe that’s the way to get from how we live today to being able to live a standard of living that we’re accustomed to and being able to protect our environment better, the use of technologies. ",1,3,True,Economy,28,jobs
686,KERRY,"jane, there are a lot of ways to be competitive. and unfortunately again i regret this administration has not seized them and embraced them. let me give you an example. there is a tax loophole right now. if you’re a company in st. louis working, trying to make jobs here, there is actually an incentive for you to go away. you get more money, you keep more of your taxes by going abroad. i’m going to shut that loophole, and i’m going to give the tax benefit to the companies that stay here in america to help make them more competitive. secondly, we’re going to create a manufacturing jobs credit and a new jobs credit for people to be able to help hire and be more competitive here in america. third, what’s really hurting american business more than anything else is the cost of health care. now, you didn’t hear any plan from the president, because he doesn’t have a plan to lower the cost of",0,6,True,"Economy, Health Care",42,"jobs, jobs, jobs, health care"
687,KERRY,"health care. five million americans have lost their health care; 620,000 missourians have no health care at all; 96,000 missourians have lost their health care under president bush. i have a plan to cover those folks. and it’s a plan that lowers cost for everybody, covers all children. and the way i pay for it — i’m not fiscally irresponsible — is i roll back the tax cut this president so fiercely wants to defend, the one for him and me and charlie. i think you ought to get the break. i want to lower your cost to health care. i want to fully fund education, no child left behind, special-needs education. and that’s how we’re going to be more competitive, by making sure our kids are graduating from school and college. china and india are graduating more graduates in technology and science than we are. we’ve got to create the products of the future. that’s why i have a plan for energy independence within 10",0,6,True,Health Care,51,"health care, health care, health care, health care, health care"
688,KERRY,"years. and we’re going to put our laboratories and our colleges and our universities to work. and we’re going to get the great entrepreneurial spirit of this country, and we’re going to free ourselves from this dependency on mideast oil. that’s how you create jobs and become competitive.",0,6,True,"Economy, Oil Industry",34,"oil, jobs"
689,GEORGE W. BUSH,"let me start with how to control the cost of health care: medical liability reform, for starters, which he’s opposed. secondly, allow small businesses to pool together so they can share risk and buy insurance at the same discounts big businesses get to do. thirdly, spread what’s called health savings accounts. it’s good for small businesses, good for owners. you own your own account. you can save tax-free. you get a catastrophic plan to help you on it. this is different from saying, “ok, let me incent you to go on the government.” he’s talking about his plan to keep jobs here. you know he calls it an outsourcing to keep — stop outsourcing. robert rubin looked at his plan and said it won’t work. the best way to keep jobs here in america is, one, have an energy plan. i proposed one to the congress two years ago, encourages conservation, encourages technology to explore for environmentally friendly ways",1,3,True,"Economy, Health Care",42,"health care, small businesses, businesses, businesses, savings accounts, small businesses, businesses, jobs, jobs"
690,GEORGE W. BUSH,"for coal — to use coal and gas. it encourages the use of renewables like ethanol and biodiesel. it’s stuck in the senate. he and his running-mate didn’t show up to vote when they could have got it going in the senate. less regulations if we want jobs here; legal reform if we want jobs here; and we’ve got to keep taxes low. now, he says he’s only going to tax the rich. do you realize, 900,000 small businesses will be taxed under his plan because most small businesses are subchapter s corps or limited partnerships, and they pay tax at the individual income tax level. and so when you’re running up the taxes like that, you’re taxing job creators, and that’s not how you keep jobs here.",1,3,True,"Taxes, Economy",70,"jobs, jobs, small businesses, businesses, small businesses, businesses, income tax, jobs"
691,KERRY,"you can’t stop all outsourcing, charlie. i’ve never promised that. i’m not going to, because that would be pandering. you can’t. but what you can do is create a fair playing field, and that’s what i’m talking about. but let me just address what the president just said. ladies and gentlemen, that’s just not true what he said. the wall street journal said 96 percent of small businesses are not affected at all by my plan. and you know why he gets that count? the president got $84 from a timber company that owns, and he’s counted as a small business. dick cheney’s counted as a small business. that’s how they do things. that’s just not right. ",0,6,True,Economy,28,"small businesses, businesses"
692,GEORGE W. BUSH,"i own a timber company? (laughter) that’s news to me. (laughter) need some wood? (laughter) most small businesses are subchapter s corps. they just are. i met grant milliron, mansfield, ohio. he’s creating jobs. most small businesses — 70 percent of the new jobs in america are created by small businesses. taxes are going up when you run up the top two brackets. it’s a fact. ",1,3,True,Economy,28,"small businesses, businesses, jobs, small businesses, businesses, jobs, small businesses, businesses"
698,KERRY,"can save lives. now, i think we can do ethically guided embryonic stem-cell research. we have 100,000 to 200,000 embryos that are frozen in nitrogen today from fertility clinics. these weren’t taken from abortion or something like that. they’re from a fertility clinic. and they’re either going to be destroyed or left frozen. and i believe if we have the option, which scientists tell us we do, of curing parkinson’s, curing diabetes, curing, you know, some kind of a, you know, paraplegic or quadriplegic or, you know, a spinal cord injury, anything, that’s the nature of the human spirit. i think it is respecting life to reach for that cure. i think it is respecting life to do it in an ethical way. and the president has chosen a policy that makes it impossible for our scientists to do that. i want the future, and i think we have to grab it.",0,6,True,abortion,43,abortion
706,KERRY,"a jew or a christian. you just know you’re reading a good judicial decision. what i want to find, if i am privileged to have the opportunity to do it — and the supreme court of the united states is at stake in this race, ladies and gentlemen. the future of things that matter to you — in terms of civil rights, what kind of justice department you’ll have, whether we’ll enforce the law. will we have equal opportunity? will women’s rights be protected? will we have equal pay for women, which is going backwards? will a woman’s right to choose be protected? these are constitutional rights, and i want to make sure we have judges who interpret the constitution of the united states according to the law.",0,6,True,Race,3,civil rights
708,KERRY,"have to make that judgment. now, i believe that you can take that position and not be pro- abortion, but you have to afford people their constitutional rights. and that means being smart about allowing people to be fully educated, to know what their options are in life, and making certain that you don’t deny a poor person the right to be able to have whatever the constitution affords them if they can’t afford it otherwise. that’s why i think it’s important. that’s why i think it’s important for the united states, for instance, not to have this rigid ideological restriction on helping families around the world to be able to make a smart decision about family planning. you’ll help prevent aids. you’ll help prevent unwanted children, unwanted pregnancies. you’ll actually do a better job, i think, of passing on the moral responsibility that is expressed in your question. and i truly respect it.",0,6,True,abortion,43,abortion
709,GEORGE W. BUSH,"i’m trying to decipher that. my answer is, we’re not going to spend taxpayers’ money on abortion. this is an issue that divides america, but certainly reasonable people can agree on how to reduce abortions in america. i signed the partial-birth — the ban on partial-birth abortion. it’s a brutal practice. it’s one way to help reduce abortions. my opponent voted against the ban. i think there ought to be parental notification laws. he’s against them. i signed a bill called the unborn victims of violence act. in other words, if you’re a mom and you’re pregnant and you get killed, the murderer gets tried for two cases, not just one. my opponent was against that. these are reasonable ways to help promote a culture of life in america. i think it is a worthy goal in america to have every child protected by law and welcomed in life. i also think we ought to continue to have good adoption law",1,3,True,abortion,43,"abortion, abortions, abortion, abortions"
710,GEORGE W. BUSH,"as an alternative to abortion. and we need to promote maternity group homes, which my administration has done. culture of life is really important for a country to have if it’s going to be a hospitable society. thank you.",1,3,True,abortion,43,abortion
711,KERRY,"well, again, the president just said, categorically, my opponent is against this, my opponent is against that. you know, it’s just not that simple. no, i’m not. i’m against the partial-birth abortion, but you’ve got to have an exception for the life of the mother and the health of the mother under the strictest test of bodily injury to the mother. secondly, with respect to parental notification, i’m not going to require a 16-or 17-year-old kid who’s been raped by her father and who’s pregnant to have to notify her father. so you got to have a judicial intervention. and because they didn’t have a judicial intervention where she could go somewhere and get help, i voted against it. it’s never quite as simple as the president wants you to believe. ",0,6,True,abortion,43,abortion
712,GEORGE W. BUSH,"well, it’s pretty simple when they say: are you for a ban on partial birth abortion? yes or no? and he was given a chance to vote, and he voted no. and that’s just the way it is. that’s a vote. it came right up. it’s clear for everybody to see. and as i said: you can run but you can’t hide the reality. ",1,3,True,abortion,43,abortion
726,KERRY,"of how we’re going to deal with iraq: training the iraqi forces more rapidly, getting our allies back to the table with a fresh start, with new credibility, with a president whose judgment the rest of the world trusts. in addition to that, i believe we have a crisis here at home, a crisis of the middle class that is increasingly squeezed, health-care costs going up. i have a plan to provide health care to all americans. i have a plan to provide for our schools so we keep the standards but we help our teachers teach and elevate our schools by funding no child left behind. i have a plan to protect the environment so that we leave this place in better shape to our children than we were handed it by our parents. that’s the test. i believe america’s best days are ahead of us. i’m an optimist, but we have to make the right choices, to be fiscally responsible and to create the new jobs of the",0,6,True,"Economy, Health Care",42,"health care, jobs"
728,GEORGE W. BUSH,"charlie, thanks. thank you all very much. it’s been enjoyable. the great contest for the presidency is about the future, who can lead, who can get things done. we’ve been through a lot together as a country — been through a recession, corporate scandals, war. and yet think about where we are: added 1.9 million new jobs over the past 13 months. the farm income in america is high. small businesses are flourishing. homeownership rate is at an all-time high in america. we’re on the move. tonight i had a chance to discuss with you what to do to keep this economy going: keep the taxes low, don’t increase the scope of the federal government, keep regulations down, legal reform, a health- care policy that does not empower the federal government but empowers individuals, and an energy plan that will help us become less dependent on foreign sources of energy. and abroad, we’re at war. and it requires a president",1,3,True,Economy,28,"jobs, small businesses, businesses, economy"
739,KERRY,"this really underscores the problem with the american health-care system. it’s not working for the american family. and it’s gotten worse under president bush over the course of the last years. five million americans have lost their health insurance in this country. you’ve got about a million right here in arizona, just shy, 950,000, who have no health insurance at all. 82,000 arizonians lost their health insurance under president bush’s watch. 223,000 kids in arizona have no health insurance at all. all across our country — go to ohio, 1. 4 million ohioans have no health insurance, 114,000 of them lost it under president bush; wisconsin, 82,000 wisconsinites lost it under president bush. this president has turned his back on the wellness of america. and there is no system. in fact, it’s starting to fall apart not because of lawsuits — though they are a problem, and john edwards and i are committed to fixing them — but because of the larger issue that we",0,6,True,Health Care,51,"health insurance, health insurance, health insurance, health insurance, health insurance"
740,KERRY,"don’t cover americans. children across our country don’t have health care. we’re the richest country on the face of the planet, the only industrialized nation in the world not to do it. i have a plan to cover all americans. we’re going to make it affordable and accessible. we’re going to let everybody buy into the same health-care plan senators and congressmen give themselves.",0,6,True,Health Care,51,health care
744,KERRY,"i’ll tell you exactly how i can do it: by reinstating what president bush took away, which is called pay as you go. during the 1990s, we had pay-as-you-go rules. if you were going to pass something in the congress, you had to show where you are going to pay for it and how. president bush has taken — he’s the only president in history to do this. he’s also the only president in 72 years to lose jobs — 1. 6 million jobs lost. he’s the only president to have incomes of families go down for the last three years; the only president to see exports go down; the only president to see the lowest level of business investment in our country as it is today. now, i’m going to reverse that. i’m going to change that. we’re going to restore the fiscal discipline we had in the 1990s. every plan that i have laid out — my health-care",0,6,True,Economy,28,"jobs, jobs"
745,KERRY,"plan, my plan for education, my plan for kids to be able to get better college loans — i’ve shown exactly how i’m going to pay for those. and we start — we don’t do it exclusively — but we start by rolling back george bush’s unaffordable tax cut for the wealthiest people, people earning more than $200,000 a year, and we pass, hopefully, the mccain-kerry commission which identified some $60 billion that we can get. we shut the loophole which has american workers actually subsidizing the loss of their own job. they just passed an expansion of that loophole in the last few days: $43 billion of giveaways, including favors to the oil and gas industry and the people importing ceiling fans from china. i’m going to stand up and fight for the american worker. and i am going to do it in a way that’s fiscally sound. i show how i pay for the health care, how we pay for the education. i",0,6,True,"Health Care, Oil Industry",68,"oil, health care"
746,KERRY,have a manufacturing jobs credit. we pay for it by shutting that loophole overseas. we raise the student loans. i pay for it by changing the relationship with the banks. this president has never once vetoed one bill; the first president in a hundred years not to do that.,0,6,True,Economy,28,jobs
748,GEORGE W. BUSH,"gap? the middle class. i propose a detailed budget, bob. i sent up my budget man to the congress, and he says, here’s how we’re going to reduce the deficit in half by five years. it requires pro-growth policies that grow our economy and fiscal sanity in the halls of congress.",1,3,True,"Economy, Federal Spending",59,"deficit, economy"
749,GEORGE W. BUSH,"i’d say, bob, i’ve got policies to continue to grow our economy and create the jobs of the 21st century. and here’s some help for you to go get an education. here’s some help for you to go to a community college. we’ve expanded trade adjustment assistance. we want to help pay for you to gain the skills necessary to fill the jobs of the 21st century. you know, there’s a lot of talk about how to keep the economy growing. we talk about fiscal matters. but perhaps the best way to keep jobs here in america and to keep this economy growing is to make sure our education system works. i went to washington to solve problems. and i saw a problem in the public education system in america. they were just shuffling too many kids through the system, year after year, grade after grade, without learning the basics. and so we said: let’s raise the standards. we’re spending more money, but let",1,3,True,"Public Education, Economy",39,"economy, jobs, jobs, economy, jobs, economy, public education"
750,GEORGE W. BUSH,"’s raise the standards and measure early and solve problems now, before it’s too late. no, education is how to help the person who’s lost a job. education is how to make sure we’ve got a workforce that’s productive and competitive. got four more years, i’ve got more to do to continue to raise standards, to continue to reward teachers and school districts that are working, to emphasize math and science in the classrooms, to continue to expand pell grants to make sure that people have an opportunity to start their career with a college diploma. and so the person you talked to, i say, here’s some help, here’s some trade adjustment assistance money for you to go a community college in your neighborhood, a community college which is providing the skills necessary to fill the jobs of the 21st century. and that’s what i would say to that person.",1,3,True,"Public Education, Economy",39,"school districts, jobs"
751,KERRY,"i want you to notice how the president switched away from jobs and started talking about education principally. let me come back in one moment to that, but i want to speak for a second, if i can, to what the president said about fiscal responsibility. being lectured by the president on fiscal responsibility is a little bit like tony soprano talking to me about law and order in this country. (laughter) this president has taken a $5. 6 trillion surplus and turned it into deficits as far as the eye can see. health-care costs for the average american have gone up 64 percent; tuitions have gone up 35 percent; gasoline prices up 30 percent; medicare premiums went up 17 percent a few days ago; prescription drugs are up 12 percent a year. but guess what, america? the wages of americans have gone down. the jobs that are being created in arizona right now are paying about $13,700 less than the jobs that we’re losing. and the president",0,6,True,"Economy, Federal Spending, Health Care",15,"jobs, surplus, prescription drugs, jobs, jobs"
752,KERRY,"just walks on by this problem. the fact is that he’s cut job-training money. $1 billion was cut. they only added a little bit back this year because it’s an election year. they’ve cut the pell grants and the perkins loans to help kids be able to go to college. they’ve cut the training money. they’ve wound up not even extending unemployment benefits and not even extending health care to those people who are unemployed. i’m going to do those things, because that’s what’s right in america: help workers to transition in every respect.",0,6,True,"Economy, Health Care",42,"unemployment, health care"
754,KERRY,"here in america. “ that’s not smart. i don’t want american workers subsidizing the loss of their own job. and when i’m president, we’re going to shut that loophole in a nanosecond and we’re going to use that money to lower corporate tax rates in america for all corporations, 5 percent. and we’re going to have a manufacturing jobs credit and a job hiring credit so we actually help people be able to hire here. the second thing that we can do is provide a fair trade playing field. this president didn’t stand up for boeing when airbus was violating international rules and subsidies. he discovered boeing during the course of this campaign after i’d been talking about it for months. the fact is that the president had an opportunity to stand up and take on china for currency manipulation. there are companies that wanted to petition the administration. they were told: don’t even bother; we’re not going to listen to it. the fact is that there",0,6,True,Economy,28,jobs
758,KERRY,"bob, anybody can play with these votes. everybody knows that. i have supported or voted for tax cuts over 600 times. i broke with my party in order to balance the budget, and ronald reagan signed into law the tax cut that we voted for. i voted for ira tax cuts. i voted for small-business tax cuts. but you know why the pell grants have gone up in their numbers? because more people qualify for them because they don’t have money. but they’re not getting the $5,100 the president promised them. they’re getting less money. we have more people who qualify. that’s not what we want. ",0,6,True,Taxes,12,"tax cuts, tax cuts, tax cuts"
767,GEORGE W. BUSH,"i think it’s important to promote a culture of life. i think a hospitable society is a society where every being counts and every person matters. i believe the ideal world is one in which every child is protected in law and welcomed to life. i understand there’s great differences on this issue of abortion, but i believe reasonable people can come together and put good law in place that will help reduce the number of abortions. take, for example, the ban on partial birth abortion. it’s a brutal practice. people from both political parties came together in the halls of congress and voted overwhelmingly to ban that practice. it made a lot of sense. my opponent, in that he’s out of the mainstream, voted against that law. what i’m saying is, is that as we promote life and promote a culture of life, surely there are ways we can work together to reduce the number of abortions: continue to promote adoption laws — it’s a great alternative to",1,3,True,abortion,43,"abortion, abortions, abortion, abortions"
768,GEORGE W. BUSH,"abortion — continue to fund and promote maternity group homes; i will continue to promote abstinence programs. the last debate, my opponent said his wife was involved with those programs. that’s great. i appreciate that very much. all of us ought to be involved with programs that provide a viable alternative to abortion.",1,3,True,abortion,43,"abortion, abortion"
769,GEORGE W. BUSH,"gosh, i sure hope it’s not the administration. there’s a — no, look, there’s a systemic problem. health-care costs are on the rise because the consumers are not involved in the decision-making process. most health-care costs are covered by third parties. and therefore, the actual user of health care is not the purchaser of health care. and there’s no market forces involved with health care. it’s one of the reasons i’m a strong believer in what they call health savings accounts. these are accounts that allow somebody to buy a low-premium, high-deductible catastrophic plan and couple it with tax-free savings. businesses can contribute, employees can contribute on a contractual basis. but this is a way to make sure people are actually involved with the decision-making process on health care. secondly, i do believe the lawsuits — i don’t believe, i know — that the lawsuits are causing health-care costs to rise",1,3,True,"Economy, Health Care",42,"health care, health care, health care, savings accounts, businesses, health care"
770,GEORGE W. BUSH,"in america. that’s why i’m such a strong believer in medical liability reform. in the last debate, my opponent said those lawsuits only caused the cost to go up by 1 percent. well, he didn’t include the defensive practice of medicine that costs the federal government some $28 billion a year and costs our society between $60 billion and $100 billion a year. thirdly, one of the reasons why there’s still high cost in medicine is because this is — they don’t use any information technology. it’s like if you looked at the — it’s the equivalent of the buggy and horse days, compared to other industries here in america. and so, we’ve got to introduce high technology into health care. we’re beginning to do it. we’re changing the language. we want there to be electronic medical records to cut down on error, as well as reduce cost. people tell me that when the health-care field is fully integrated with information",1,3,True,Health Care,51,health care
771,GEORGE W. BUSH,"technology, it’ll wring some 20 percent of the cost out of the system. and finally, moving generic drugs to the market quicker. and so, those are four ways to help control the costs in health care.",1,3,True,Health Care,51,health care
773,KERRY,"it illegal — illegal — for medicare to actually go out and bargain for lower prices. result: $139 billion windfall profit to the drug companies coming out of your pockets. that’s a large part of your 17 percent increase in medicare premiums. when i’m president, i’m sending that back to congress and we’re going to get a real prescription drug benefit. now, we also have people sicker because they don’t have health insurance. so whether it’s diabetes or cancer, they come to hospitals later and it costs america more. we got to have health care for all americans.",0,6,True,Health Care,51,"health insurance, health care"
774,GEORGE W. BUSH,"i think it’s important, since he talked about the medicare plan, has he been in the united states senate for 20 years? he has no record on reforming of health care. no record at all. he introduced some 300 bills and he’s passed five. no record of leadership. i came to washington to solve problems. i was deeply concerned about seniors having to choose between prescription drugs and food. and so i led. and in 2006, our seniors will get a prescription drug coverage in medicare. ",1,3,True,Health Care,51,"health care, prescription drugs"
775,KERRY,"once again, the president is misleading america. i’ve actually passed 56 individual bills that i’ve personally written and, in addition to that, and not always under my name, there is amendments on certain bills. but more importantly, with respect to the question of no record, i helped write — i did write, i was one of the original authors of the early childhood health care and the expansion of health care that we did in the middle of the 1990s. and i’m very proud of that. so the president’s wrong. ",0,6,True,Health Care,51,"health care, health care"
777,KERRY,"is covered. and in exchange, if the states want to — they’re not forced to, they can choose to — they cover individuals up to 300 percent of poverty. it’s their choice. i think they’ll choose it, because it’s a net plus of $5 billion to them. we allow you — if you choose to, you don’t have to — but we give you broader competition to allow you to buy into the same health care plan that senators and congressmen give themselves. if it’s good enough for us, it’s good enough for every american. i believe that your health care is just as important as any politician in washington, d. c. you want to buy into it, you can. we give you broader competition. that helps lower prices. in addition to that, we’re going to allow people 55 to 64 to buy into medicare early. and most importantly, we give small business a 50 percent tax credit so that after we lower the",0,6,True,"Taxes, Health Care",52,"health care, health care, tax credit"
778,KERRY,"costs of health care, they also get, whether they’re self-employed or a small business, a lower cost to be able to cover their employees. now, what happens is when you begin to get people covered like that — for instance in diabetes, if you diagnose diabetes early, you could save $50 billion in the health care system of america by avoiding surgery and dialysis. it works. and i’m going to offer it to america.",0,6,True,Health Care,51,"health care, health care"
779,GEORGE W. BUSH,"in all due respect, i’m not so sure it’s credible to quote leading news organizations about — oh, never mind. anyway, let me quote the lewin report. the lewin report is a group of folks who are not politically affiliated. they analyzed the senator’s plan. it cost $1.2 trillion. the lewin report accurately noted that there are going to be 20 million people, over 20 million people added to government-controlled health care. it would be the largest increase in government health care ever. if you raise the medicaid to 300 percent, it provides an incentive for small businesses not to provide private insurance to their employees. why should they insure somebody when the government’s going to insure it for them? it’s estimated that 8 million people will go from private insurance to government insurance. we have a fundamental difference of opinion. i think government- run health will lead to poor-quality health, will lead to rationing, will lead to less choice. once a health",1,3,True,"Economy, Health Care",42,"health care, health care, small businesses, businesses, private insurance, private insurance"
780,GEORGE W. BUSH,"-care program ends up in a line item in the federal government budget, it leads to more controls. and just look at other countries that have tried to have federally controlled health care. they have poor-quality health care. our health-care system is the envy of the world because we believe in making sure that the decisions are made by doctors and patients, not by officials in the nation’s capital.",1,3,True,Health Care,51,"health care, health care"
781,KERRY,"the president just said that government-run health care results in poor quality. now, maybe that explains why he hasn’t fully funded the va and the va hospital is having trouble and veterans are complaining. maybe that explains why medicare patients are complaining about being pushed off of medicare. he doesn’t adequately fund it. but let me just say to america: i am not proposing a government-run program. that’s not what i have. i have blue cross/blue shield. senators and congressmen have a wide choice. americans ought to have it too. ",0,6,True,Health Care,51,health care
782,GEORGE W. BUSH,"talk about the va: we’ve increased va funding by $22 billion in the four years since i’ve been president. that’s twice the amount that my predecessor increased va funding. of course we’re meeting our obligation to our veterans, and the veterans know that. we’re expanding veterans’ health care throughout the country. we’re aligning facilities where the veterans live now. veterans are getting very good health care under my administration, and they will continue to do so during the next four years. ",1,3,True,Health Care,51,"health care, health care"
783,GEORGE W. BUSH,"first, let me make sure that every senior listening today understands that when we’re talking about reforming social security, that they’ll still get their checks. i remember the 2000 campaign, people said if george w. gets elected, your check will be taken away. well, people got their checks, and they’ll continue to get their checks. there is a problem for our youngsters, a real problem. and if we don’t act today, the problem will be valued in the trillions. and so i think we need to think differently. we’ll honor our commitment to our seniors. but for our children and our grandchildren, we need to have a different strategy. and recognizing that, i called together a group of our fellow citizens to study the issue. it was a committee chaired by the late senator daniel patrick moynihan of new york, a democrat. and they came up with a variety of ideas for people to look at. i believe that younger workers ought to be allowed",1,3,True,Social Welfare,19,social security
784,GEORGE W. BUSH,"to take some of their own money and put it in a personal savings account, because i understand that they need to get better rates of return than the rates of return being given in the current social security trust. and the compounding rate of interest effect will make it more likely that the social security system is solvent for our children and our grandchildren. i will work with republicans and democrats. it’ll be a vital issue in my second term. it is an issue that i am willing to take on, and so i’ll bring republicans and democrats together. and we’re of course going to have to consider the costs. but i want to warn my fellow citizens: the cost of doing nothing, the cost of saying the current system is ok, far exceeds the costs of trying to make sure we save the system for our children.",1,3,True,Social Welfare,19,"social security, social security"
